NPI,Name,Entity_Type,City,State,ZIP,Phone,Authorized_Official,Total_Paid,Post_Exclusion_Paid,Post_Exclusion_Claims,Exclusion_Date,Action_Type,Risk_Level,Risk_Score,Fraud_Categories,Red_Flags
1528064409,"VIRTUA - WEST JERSEY HEALTH SYSTEM, INC.",Organization,"VOORHEES",NJ,08043,856-247-3000,"GERRY LOWE",255730619.38,0.00,0,,,CRITICAL,55,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","Extreme Z-score: 11.2; 100% self-referral (100.0%); Benford deviation: 16.4"
1013919315,"ATLANTICARE REGIONAL MEDICAL CENTER",Organization,"POMONA",NJ,08240,609-652-1000,"HAK KIM",214909154.95,0.00,0,,,CRITICAL,55,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 9.4; 100% self-referral (100.0%); 5 temporal anomalies; Benford deviation: 40.7"
1386746592,"KENNEDY UNIVERSITY HOSPITAL INC.",Organization,"STRATFORD",NJ,08084,856-346-6000,"TIMOTHY MACCRACKEN",209406546.67,0.00,0,,,CRITICAL,55,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 9.2; 100% self-referral (99.9%); 4 temporal anomalies; Benford deviation: 45.3"
1043279011,"PREFERRED HOME HEALTH CARE & NURSING SERVICES, INC.",Organization,"MOUNT LAUREL",NJ,08054,732-314-5617,"TODD THIEDE",224601483.90,0.00,0,,,CRITICAL,53,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 9.9; 100% self-referral (100.0%); Top code = 50% of billing; Benford deviation: 39.8"
1033370317,"STARLIGHT HOME CARE AGENCY, INC",Organization,"SADDLE BROOK",NJ,07663,201-836-0500,"VICTORIA ZATULOVSKY",207324061.73,0.00,0,,,CRITICAL,50,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 9.1; 100% self-referral (100.0%); Benford deviation: 30.0; Completely isolated billing (no servicing network)"
1205927928,"UNIVERSAL REHABILITATION AND FITNESS, INC.",Organization,"LIVINGSTON",NJ,07039,973-992-8181,"ADAM STEINBERG",191010017.45,0.00,0,,,CRITICAL,50,"MEGA-BILLER ($100M+); SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 8.4; 100% self-referral (100.0%); Billing trend is increasing; Benford deviation: 26.5"
1164487542,"INSPIRA MEDICAL CENTERS, INC.",Organization,"BRIDGETON",NJ,08302,856-575-4777,"JAMES O'CONNELL",227071353.69,0.00,0,,,HIGH,45,"SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 10.0; 100% self-referral (100.0%); Benford deviation: 39.1"
1396886297,"CHILDREN'S SPECIALIZED HOSPITAL",Organization,"MOUNTAINSIDE",NJ,07092,888-244-5373,"GERIANN SWENARTON",199938874.59,0.00,0,,,HIGH,45,"SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 8.8; 100% self-referral (96.4%); Benford deviation: 24.3"
1346243375,"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL, INC",Organization,"NEW BRUNSWICK",NJ,08901,732-828-3000,"JAMES ALEXANDER",198255360.08,0.00,0,,,HIGH,45,"SELF-REFERRAL SCHEME; STATISTICAL ANOMALY","High Z-score: 8.7; 100% self-referral (100.0%); Benford deviation: 35.5"
1114924834,"SAINT PETER'S UNIVERSITY HOSPITAL",Organization,"NEW BRUNSWICK",NJ,08901,732-745-6651,"GARRICK STOLDT",185493396.35,0.00,0,,,HIGH,40,"STATISTICAL ANOMALY","High Z-score: 8.1; High self-referral: 87.2%; Benford deviation: 30.4"
1578665048,"OPTUM MEDICAL CARE OF NEW JERSEY PC",Organization,"SECAUCUS",NJ,07094,201-636-7233,"GAURANG BRAHMBHATT",218818427.28,0.00,0,,,HIGH,38,"STATISTICAL ANOMALY; HUB-AND-SPOKE NETWORK","High Z-score: 9.6; Benford deviation: 103.4; Hub-and-spoke pattern (487 servicing NPIs)"
